timestamp,date,wave_index,client_id,client_name,biz_name,search_address,campaign_id,campaign_name,keyword,keyword_variant,variant_id,prompt,follow_up,has_follow_up,device_id,platform,status,duration_s,proxy_status,proxy_username,proxy_host,proxy_port,base_latitude,base_longitude,mocked_latitude,mocked_longitude,mocked_timezone,backlinks_expected,backlink_injected,backlink_found,backlink_url,failure_step,error
2026-06-07T08:00:00Z,2026-06-07,0,62,Jake Dylan,"Mack Engineering, Dunwoody","5343 Roberts Drive, Dunwoody, GA 30338-3834, USA",73,"Mack Engineering, Dunwoody — 5343 Roberts Drive, Dunwoody, GA 30338-3834, USA",construction management consultant near me open now,construction management consultant with good reviews open now,45201,Friend mentioned Mack Engineering near Roberts Drive in Dunwoody—they any good as a construction management consultant with good reviews open now? Legit as people say?,"Got it, got any project galleries or photos on their profile?",True,device-113,chatgpt,success,211.3,CONNECTED,user-spmqebjuzf-session-5fotstfltj-sessionduration-60-country-us,192.168.0.102,11009,33.9566559,-84.3360358,33.929552,-84.262817,America/Los_Angeles,0,False,False,,,
2026-06-07T08:00:45Z,2026-06-07,0,152,Vlad Blitstin,The Leesburg Dentists,"706 South King Street Suite 102, Leesburg, VA 20175-3918, USA",177,"The Leesburg Dentists — 706 South King Street Suite 102, Leesburg, VA 20175-3918, USA",dental implants,dental implants,,Friend mentioned The leesburg Dentists over on South King Street—said they do dental implants. They actually any good for that sort of thing?,,False,device-111,perplexity,success,178.8,CONNECTED,user-spmqebjuzf-session-pugf3ivhv9-sessionduration-60-country-us,192.168.0.102,11007,0,0,39.122324,-77.591895,America/Los_Angeles,0,False,False,,,
2026-06-07T08:01:29Z,2026-06-07,0,21,Scott Kincaide,"Kincaide Roofing And Rejuvenation, Wayne County","44401 Ford Road, Canton Township, MI 48187-2964, USA",29,"Kincaide Roofing And Rejuvenation, Wayne County — 44401 Ford Road, Canton Township, MI 48187-2964, USA",roofing replacement near me,roof replacement near dearborn heights,27011,"Been reading through a writeup they shared, and I'm trying to get a solid read on Kincaide Roofing And Rejuvenation in canton township. How do they actually handle a roof replacement near dearborn heights?","Handy info, what do their reviews say about roof replacement near dearborn heights?",True,device-102,perplexity,success,227.1,CONNECTED,user-spmqebjuzf-session-xz7kpqkmsv-sessionduration-60-country-us,192.168.0.102,11002,42.322074,-83.478326,42.27296,-83.506174,America/Los_Angeles,1,True,False,,,
2026-06-07T08:01:55Z,2026-06-07,0,102,Justin Sonntag,"Aire Serv of Northwest Florida, Navarre","7053 Leisure Street, Navarre, FL 32566-6623, USA",119,"Aire Serv of Northwest Florida, Navarre — 7053 Leisure Street, Navarre, FL 32566-6623, USA",ac unit service near me with free estimate,need an ac service estimate near me open now,46328,Friend mentioned Aire Serv of Northwest Florida over near 7053 Leisure Street in Navarre — they actually any good for a quick ac estimate this late?,Got it — drop the sources — what do their latest posts or specials say?,True,device-111,perplexity,success,203.0,CONNECTED,user-spmqebjuzf-session-14mq3yr71z-sessionduration-60-country-us,192.168.0.102,11007,30.4170568,-86.9289401,30.416731,-86.992144,America/Los_Angeles,0,False,False,,,
2026-06-07T08:02:39Z,2026-06-07,0,100,Ryan Malham,"Hinton Buildings, Selma","121 U.S. 70, Selma, NC 27576, USA",117,"Hinton Buildings, Selma — 121 U.S. 70, Selma, NC 27576, USA",best rated portable sheds for backyard use near me with reviews,affordable portable sheds near the selma lowes with reviews,47083,Anyone tried Hinton Buildings for affordable portable sheds near the Selma Lowes on 121 U.S. 70—are they as solid as the Google profile reviews suggest?,,False,device-110,perplexity,success,179.0,CONNECTED,user-spmqebjuzf-session-usnyyd39is-sessionduration-60-country-us,192.168.0.102,11006,35.532647,-78.2800865,35.567351,-78.290225,America/Los_Angeles,0,False,False,,,
2026-06-07T08:03:08Z,2026-06-07,0,37,Judith Smith,"Atlanta Basement Design, Johns Creek","1425 Old Ellis Road, Roswell, GA 30076-3822, USA",46,"Atlanta Basement Design, Roswell — 1425 Old Ellis Road, Roswell, GA 30076-3822, USA",best basement finishing contractors with good reviews,top rated basement finishing near old alabama road,47785,I dug through a piece on Atlanta Basement Design and their work around old alabama road. Do they actually handle top rated basement finishing near Old Alabama Road as smoothly as their Google profile suggests?,,False,device-102,chatgpt,success,106.5,CONNECTED,user-spmqebjuzf-session-j0v9gukxnj-sessionduration-60-country-us,192.168.0.102,11002,34.0497645,-84.3195612,34.010522,-84.267681,America/Los_Angeles,0,False,False,,,
2026-06-07T08:03:33Z,2026-06-07,0,128,Bridget,"Brazil Bronze Tanning Salon NYC | Spray Tan NYC, New York","138 Wooster Street 4th Floor, New York, NY 10012-3180, USA",155,"Brazil Bronze Tanning Salon NYC | Spray Tan NYC, New York — 138 Wooster Street 4th Floor, New York, NY 10012-3180, USA",best spray tanning salon near me with natural results,best spray tan that looks natural and not orange,49245,"Friend mentioned Brazil Bronze Tanning Salon NYC near 138 Wooster Street for spray tans. They actually any good at giving that natural, not-orange look people talk about?",,False,device-115,perplexity,success,179.1,CONNECTED,user-spmqebjuzf-session-o5nqggx6o9-sessionduration-60-country-us,192.168.0.102,11011,0,0,40.708059,-73.999728,America/Los_Angeles,0,False,False,,,
2026-06-07T08:04:16Z,2026-06-07,0,119,Sam Agia,"Diversified Therapy in Los Angeles, Los Angeles","627 N Larchmont Blvd, Los Angeles, CA 90004",142,"Diversified Therapy in Los Angeles, Los Angeles — 627 N Larchmont Blvd, Los Angeles, CA 90004",interracial couples therapist,interracial couples therapist,,Neighbors keep mentioning Diversified Therapy down on Larchmont Blvd.  Are they a solid pick for an interracial couples therapist?,"Got it, what do their client reviews say about interracial couples counseling?",True,device-111,gemini,success,163.0,CONNECTED,user-spmqebjuzf-session-alwdze6l4s-sessionduration-60-country-us,192.168.0.102,11007,0,0,34.099128,-118.311728,America/Los_Angeles,0,False,False,,,
2026-06-07T08:05:22Z,2026-06-07,0,5,"Leo Lapuerta, MD","Leo Lapuerta, MD Plastic Surgery","21312 Provincial Blvd B, Katy, TX 77450",12,"Leo Lapuerta, MD Plastic Surgery — 21312 Provincial Blvd B, Katy, TX 77450",best plastic surgeon in memorial area that accepts my insurance,where to get rhinoplasty consultation in memorial area that accepts insurance,47831,"Walked by 21312 Provincial Blvd B earlier and noticed Leo Lapuerta, MD Plastic Surgery's office there. Do they do where to get rhinoplasty consultation in memorial area that accepts insurance?","Cool, do they have before-and-after photos of rhinoplasty patients on their site?",True,device-114,chatgpt,success,130.9,CONNECTED,user-spmqebjuzf-session-u0uwqiplj6-sessionduration-60-country-us,192.168.0.102,11011,-35.0715114,-57.7488326,-35.0691,-57.693105,America/Los_Angeles,0,False,False,,,
2026-06-07T08:06:05Z,2026-06-07,0,2,Mary Thornton,Black Car IQ,"393 West 1970 South, Hurricane, UT 84737-2386, USA",3,"Black Car IQ — 393 West 1970 South, Hurricane, UT 84737-2386, USA",best luxury transport to amangiri for a weekend trip near me with reviews,whats the best way to get to amangiri from springdale area with reviews,47280,Spotted Black Car IQ near 393 West 1970 South while driving through Hurricane—looks like they handle transport. Do they have any solid reviews for whats the best way to get to amangiri from springdale area?,"Cool, do they have reviews mentioning that amangiri route from springdale?",True,device-109,gemini,success,146.9,CONNECTED,user-spmqebjuzf-session-hbb0fu2740-sessionduration-60-country-us-zip-84041,192.168.0.102,11005,37.1461349,-113.2961931,37.197162,-113.3376,America/Los_Angeles,0,False,False,,,
