id,client_id,business_id,keyword_id,ranking_position,reason_recommended,maps_presence,maps_url,is_initial_ranking,platform,screenshot_url,text_ranking,run_id,created_at,duration_seconds,proxy_ip,proxy_city,proxy_region,proxy_country,proxy_zip,base_latitude,base_longitude,mocked_latitude,mocked_longitude,device_identifier,ranking_total,client_name,biz_name,search_address,keyword,timestamp,date,status,proxy_status,proxy_username,proxy_host,proxy_port,mocked_timezone,failure_step,error,keyword_variant
4741,8,13,76,4,,,,false,gemini,s3://aeo-rank-screenshots/clients/8-green-hippo-media/keywords/76-iv-hydration-goodyear-az/gemini/2026-04-17_rank4_initial.png,,,2026-04-17T14:22:37.588Z,133.2,,,,,,,,,,,12,,"West Valley Naturopathic Center, Goodyear",,iv hydration goodyear az,2026-04-17T02:33:02.000Z,2026-04-17,success,,,,,,,,
4742,8,13,75,4,,,,false,gemini,s3://aeo-rank-screenshots/clients/8-green-hippo-media/keywords/75-detox-iv-therapy/gemini/2026-04-17_rank4_initial.png,,,2026-04-17T14:22:38.824Z,132.7,,,,,,,,,,,12,,"West Valley Naturopathic Center, Goodyear",,detox iv therapy,2026-04-17T06:31:39.000Z,2026-04-17,success,,,,,,,,
4743,8,13,77,4,,,,false,gemini,s3://aeo-rank-screenshots/clients/8-green-hippo-media/keywords/77-iv-therapy/gemini/2026-04-17_rank4_initial.png,,,2026-04-17T14:22:39.933Z,129.7,,,,,,,,,,,12,,"West Valley Naturopathic Center, Goodyear",,iv therapy,2026-04-17T08:31:09.000Z,2026-04-17,success,,,,,,,,
4744,10,15,87,1,,,,false,gemini,s3://aeo-rank-screenshots/clients/10-diamond-auto-salon/keywords/87-vehicle-wrap/gemini/2026-04-17_rank1_initial.png,,,2026-04-17T14:22:41.179Z,119.4,,,,,,,,,,,25,,"Diamond Auto Salon, Westlake Village",,vehicle wrap,2026-04-17T05:57:23.000Z,2026-04-17,success,,,,,,,,
4745,9,14,79,6,,,,false,gemini,s3://aeo-rank-screenshots/clients/9-amanda-cey/keywords/79-executive-offsite/gemini/2026-04-17_rank6_initial.png,,,2026-04-17T14:22:42.306Z,132,,,,,,,,,,,45,,"ABCey Events, San Francisco",,Executive Offsite,2026-04-17T08:51:03.000Z,2026-04-17,success,,,,,,,,
4746,9,14,80,12,,,,false,gemini,s3://aeo-rank-screenshots/clients/9-amanda-cey/keywords/80-executive-retreat/gemini/2026-04-17_rank12_initial.png,,,2026-04-17T14:22:43.535Z,130.6,,,,,,,,,,,282,,"ABCey Events, San Francisco",,Executive Retreat,2026-04-17T09:03:06.000Z,2026-04-17,success,,,,,,,,
4747,8,13,78,1,,,,false,gemini,s3://aeo-rank-screenshots/clients/8-green-hippo-media/keywords/78-prp/gemini/2026-04-17_rank1_initial.png,,,2026-04-17T14:22:44.746Z,135.5,,,,,,,,,,,8,,"West Valley Naturopathic Center, Goodyear",,prp,2026-04-17T01:17:25.000Z,2026-04-17,success,,,,,,,,
4748,9,14,83,12,,,,false,gemini,s3://aeo-rank-screenshots/clients/9-amanda-cey/keywords/83-event-planning-services-san-francisco/gemini/2026-04-17_rank12_initial.png,,,2026-04-17T14:22:45.798Z,126.8,,,,,,,,,,,282,,"ABCey Events, San Francisco",,Event planning services San Francisco,2026-04-17T02:05:16.000Z,2026-04-17,success,,,,,,,,
4749,9,14,82,2,,,,false,gemini,s3://aeo-rank-screenshots/clients/9-amanda-cey/keywords/82-event-planning/gemini/2026-04-17_rank2_initial.png,,,2026-04-17T14:22:47.016Z,128.9,,,,,,,,,,,3,,"ABCey Events, San Francisco",,Event Planning,2026-04-17T00:04:08.000Z,2026-04-17,success,,,,,,,,
4750,9,14,81,9,,,,false,gemini,s3://aeo-rank-screenshots/clients/9-amanda-cey/keywords/81-event-planner-san-francisco/gemini/2026-04-17_rank9_initial.png,,,2026-04-17T14:22:48.051Z,132.3,,,,,,,,,,,25,,"ABCey Events, San Francisco",,Event planner San Francisco,2026-04-17T08:22:50.000Z,2026-04-17,success,,,,,,,,
4751,10,15,86,1,,,,false,gemini,s3://aeo-rank-screenshots/clients/10-diamond-auto-salon/keywords/86-pure-ppf/gemini/2026-04-17_rank1_initial.png,,,2026-04-17T14:22:49.270Z,129.9,,,,,,,,,,,12,,"Diamond Auto Salon, Westlake Village",,pure ppf,2026-04-17T00:07:54.000Z,2026-04-17,success,,,,,,,,
4752,10,15,88,1,,,,false,gemini,s3://aeo-rank-screenshots/clients/10-diamond-auto-salon/keywords/88-color-ppf/gemini/2026-04-17_rank1_initial.png,,,2026-04-17T14:22:50.302Z,127.5,,,,,,,,,,,15,,"Diamond Auto Salon, Westlake Village",,color ppf,2026-04-17T02:10:06.000Z,2026-04-17,success,,,,,,,,
4753,8,13,74,4,,,,false,gemini,s3://aeo-rank-screenshots/clients/8-green-hippo-media/keywords/74-medical-weight-loss/gemini/2026-04-17_rank4_initial.png,,,2026-04-17T14:22:51.461Z,149.6,,,,,,,,,,,18,,"West Valley Naturopathic Center, Goodyear",,medical weight loss,2026-04-17T00:14:29.000Z,2026-04-17,success,,,,,,,,
4754,10,15,90,1,,,,false,gemini,s3://aeo-rank-screenshots/clients/10-diamond-auto-salon/keywords/90-color-paint-protection-film/gemini/2026-04-17_rank1_initial.png,,,2026-04-17T14:22:52.650Z,147.9,,,,,,,,,,,12,,"Diamond Auto Salon, Westlake Village",,color paint protection film,2026-04-17T05:41:53.000Z,2026-04-17,success,,,,,,,,
