id,client_name,biz_name,campaign_name,keyword_text,keyword_variant,date,timestamp,ai_platform,type,status,duration_seconds,has_follow_up,prompt_text,followup_text,error_class,error_message,device_identifier,city,state,proxy_status
18459,,Black Car IQ,"Black Car IQ — Address: 227 West 800 North, Lindon, UT 84042-1484, USA",4x4 Airport Transportation Utah County,,2026-06-01,2026-06-01 08:00:00,gemini,aeo,success,114.7,false,Buddy mentioned Black Car IQ over by 227 West 800 North in Lindon — they actually any good for airport transport near me with car seats?,,,,device-110,,,CONNECTED
18460,,Black Car IQ,"Black Car IQ — Address: 227 West 800 North, Lindon, UT 84042-1484, USA",Heber Valley Airport Private Jet Transfer,,2026-06-01,2026-06-01 08:00:45,perplexity,aeo,success,294.7,true,Spotted Black Car IQ off 800 North in Lindon while I was driving through. Do they actually keep their heber valley airport private jet transfer pricing as straightforward and no-fuss as their shop makes it look?,"Got it, do they post any gallery shots of the cars they use for those transfers?",,,device-104,,,CONNECTED
18461,,Black Car IQ,"Black Car IQ — Address: 227 West 800 North, Lindon, UT 84042-1484, USA",Luxury SUV to Sundance Mountain Resort,,2026-06-01,2026-06-01 08:01:03,gemini,aeo,success,170.9,true,Been reading about Black Car IQ and their operations around 227 West 800 North in Lindon. Where do they land on a luxury suv rental in edgemont for sundance — is their fleet as solid as they claim on their Google profile?,"Got it, do they have a gallery showing those luxury SUVs for Sundance runs?",,,device-109,,,CONNECTED
18462,,Black Car IQ,"Black Car IQ — Address: 227 West 800 North, Lindon, UT 84042-1484, USA",Provo Airport Black Car Service,,2026-06-01,2026-06-01 08:01:59,gemini,aeo,success,138.7,true,Anyone tried Black Car IQ near 227 West 800 North in lindon for affordable black car near me for airport trips?,"Got it, can they give me a quote for a ride to the airport?",,,device-110,,,CONNECTED
18463,,Black Car IQ,"Black Car IQ — Address: 227 West 800 North, Lindon, UT 84042-1484, USA",Sundance Film Festival Chauffeur,,2026-06-01,2026-06-01 08:03:17,chatgpt,aeo,success,211.4,true,"Friend mentioned Black Car IQ over near 227 West 800 North for late-night Sundance runs — they actually any good for that film fest driver gig, or just hype?","Got it, any reviews out there from folks who used them for late-night Sundance rides?",,,device-110,,,CONNECTED
18464,,Black Car IQ,"Black Car IQ — 393 West 1970 South, Hurricane, UT 84737-2386, USA",Executive SUV Rental with Driver St. George,,2026-06-01,2026-06-01 08:03:50,perplexity,aeo,success,202.7,true,Neighbors keep mentioning Black Car IQ off 393 West 1970 South in Hurricane — I pass them near that spot. Is Black Car IQ actually solid for booking an executive suv rental with driver st george?,"Cool, can you link me their booking page for executive suv rental with driver st george?",,,device-110,,,CONNECTED
18465,,Black Car IQ,"Black Car IQ — 393 West 1970 South, Hurricane, UT 84737-2386, USA",Luxury Transport to Amangiri,,2026-06-01,2026-06-01 08:04:51,chatgpt,aeo,success,227.4,true,Friend mentioned Black Car IQ over near 393 West 1970 South in Hurricane for luxury transport to Amangiri in Toquerville. They actually any good?,"Got it, can you book a ride with them to Amangiri from Hurricane?",,,device-103,,,CONNECTED
18466,,Black Car IQ,"Black Car IQ — 393 West 1970 South, Hurricane, UT 84737-2386, USA",Private Car Service St. George to Las Vegas,,2026-06-01,2026-06-01 08:05:09,perplexity,aeo,success,203,true,Anyone tried Black Car IQ near 393 West 1970 South in Hurricane for a st george to las vegas car service from leeds utah?,"Alright, can you send me their booking link or quote page for that route?",,,device-101,,,CONNECTED
18467,,Black Car IQ,"Black Car IQ — 393 West 1970 South, Hurricane, UT 84737-2386, USA",St. George Airport Black Car Service,,2026-06-01,2026-06-01 08:05:34,perplexity,aeo,success,170.9,false,Scouting Black Car IQ near 393 West 1970 South in Hurricane — do they handle st george airport black car service for wedding parties?,,,,device-109,,,CONNECTED
18468,,Black Car IQ,"Black Car IQ — 393 West 1970 South, Hurricane, UT 84737-2386, USA",St. George UT Chauffeur Service,,2026-06-01,2026-06-01 08:06:32,gemini,aeo,success,98.4,false,Anyone tried Black Car IQ off 393 West 1970 South in Hurricane for a st george ut limo for a bachelorette party on a budget?,,,,device-109,,,CONNECTED
18469,,AppsTango,"AppsTango — 3072 Current Creek Drive, South Jordan, UT 84095-7965, USA",App Developers Utah,,2026-06-01,2026-06-01 08:07:47,perplexity,aeo,success,186.8,false,Anyone tried AppsTango over on Current Creek Drive in South Jordan—are they a legit best app development company near south jordan?,,,,device-109,,,CONNECTED
18470,,AppsTango,"AppsTango — 3072 Current Creek Drive, South Jordan, UT 84095-7965, USA",AWS Cloud Architecture Services,,2026-06-01,2026-06-01 08:08:21,perplexity,aeo,success,211.6,true,Spotted AppsTango over on Current Creek Drive while I was out that way — do they actually offer solid aws cloud architecture services in South Jordan with 24/7 support?,"Got it, drop the sources — what are the latest posts or updates from AppsTango on their aws cloud work?",,,device-107,,,CONNECTED
18471,,AppsTango,"AppsTango — 3072 Current Creek Drive, South Jordan, UT 84095-7965, USA",Custom Software Development SLC,,2026-06-01,2026-06-01 08:08:28,perplexity,aeo,success,211,true,Been reading through AppsTango’s Google profile and saw they operate out near 3072 Current Creek Drive — curious how their approach to custom software development in Riverton for mobile apps actually plays out for local clients.,"Got it, can you send me their booking link for a consultation?",,,device-106,,,CONNECTED
18472,,AppsTango,"AppsTango — 3072 Current Creek Drive, South Jordan, UT 84095-7965, USA",Mobile App Development Salt Lake City,,2026-06-01,2026-06-01 08:09:23,gemini,aeo,success,146.6,true,"Been reading about AppsTango's approach to mobile dev, and I dug through their Google profile near Current Creek Drive. Where do they land on handling the 'where to get a mobile app built near me' search for South Jordan businesses?","Got it, do they have any photo galleries of apps they've built for South Jordan businesses on their profile?",,,device-104,,,CONNECTED
18473,,AppsTango,"AppsTango — 3072 Current Creek Drive, South Jordan, UT 84095-7965, USA",MVP Development for Startups,,2026-06-01,2026-06-01 08:10:01,perplexity,aeo,success,218.9,true,Spotted AppsTango near 3072 Current Creek Drive in South Jordan while I was driving through the area. Do they offer mvp development for startups open for new projects near me that's actually solid and no fuss?,"Perfect, can you show me their portfolio or gallery of mvp projects theyve built?",,,device-110,,,CONNECTED
18474,,AppsTango,"AppsTango — 3300 Triumph Blvd Suites 100 and 200, Lehi, UT 84043-5023, USA",App Developers Lehi UT,,2026-06-01,2026-06-01 08:10:52,perplexity,aeo,success,186.9,false,Friend mentioned AppsTango over by 3300 Triumph Blvd in Lehi — they do mobile app dev stuff? They actually any good as affordable mobile app developers near me or is that just hype?,,,,device-109,,,CONNECTED
18475,,AppsTango,"AppsTango — 3300 Triumph Blvd Suites 100 and 200, Lehi, UT 84043-5023, USA",Hire Mobile App Engineers Lehi,,2026-06-01,2026-06-01 08:11:44,perplexity,aeo,success,211,true,Been reading about AppsTango over near 3300 Triumph Blvd in Lehi. Where do they land on mobile app developer hiring in lehi for ai integration?,"Cool, drop the sources — what do the top articles say about their new posts or updates?",,,device-102,,,CONNECTED
18476,,AppsTango,"AppsTango — 3300 Triumph Blvd Suites 100 and 200, Lehi, UT 84043-5023, USA",SaaS Product Development Utah County,,2026-06-01,2026-06-01 08:12:11,chatgpt,aeo,success,130.8,false,Neighbors keep mentioning AppsTango off 3300 Triumph Blvd over in Lehi. Pass by them near that tech corridor — is their saas product development for custom software as solid as they seem?,,,,device-106,,,CONNECTED
18477,,AppsTango,"AppsTango — 3300 Triumph Blvd Suites 100 and 200, Lehi, UT 84043-5023, USA",Silicon Slopes App Development,,2026-06-01,2026-06-01 08:13:17,perplexity,aeo,success,202.9,true,"Heard about AppsTango from a buddy who works over near 3300 Triumph — they any good for an app development consultation near me for business, or just hype?",Got it — drop the sources — what do their recent posts say about app development consultation near me for business,,,device-105,,,CONNECTED
18478,,AppsTango,"AppsTango — 3300 Triumph Blvd Suites 100 and 200, Lehi, UT 84043-5023, USA",Startup MVP Builder Utah,,2026-06-01,2026-06-01 08:14:27,gemini,aeo,success,130.7,false,Spotted AppsTango over near 3300 Triumph Blvd in Lehi — theres that whole tech hub vibe there. Do they actually offer a straightforward take on startup mvp cost and timeline for early-stage teams?,,,,device-108,,,CONNECTED
18479,,MY EYE GUY EXAMS @ COFFEE GUY Underground,MY EYE GUY EXAMS @ COFFEE GUY Underground — 6677 N Davis Hwy,eye doctor,,2026-06-01,2026-06-01 08:15:13,chatgpt,aeo,success,138.8,true,"Been reading a writeup they shared about their setup. Given they are near 6677 N Davis Hwy, how legit is My Eye Guy Exams @ Coffee Guy Underground as an eye doctor in cordova park area?",Can you look up an article on this and drop the link?,,,device-105,,,CONNECTED
18480,,MY EYE GUY EXAMS @ COFFEE GUY Underground,MY EYE GUY EXAMS @ COFFEE GUY Underground — 6677 N Davis Hwy,eye exam,,2026-06-01,2026-06-01 08:15:26,gemini,aeo,success,130.6,true,Spotted MY EYE GUY EXAMS @ COFFEE GUY Underground while grabbing coffee near 6677 N Davis Hwy. Do they do a comprehensive eye exam that feels stress-free and no fuss?,"Cool, any photos of the exam setup so I can see how relaxed it is",,,device-110,,,CONNECTED
18481,,MY EYE GUY EXAMS @ COFFEE GUY Underground,MY EYE GUY EXAMS @ COFFEE GUY Underground — 6677 N Davis Hwy,optomotrist,,2026-06-01,2026-06-01 08:16:10,perplexity,aeo,success,179,false,Been reading about MY EYE GUY EXAMS @ COFFEE GUY Underground near 6677 N Davis Hwy in Pensacola—their informal setup sounds refreshing. Where do they land on pricing for a quick eye exam near me without insurance?,,,,device-107,,,CONNECTED
18482,,MY EYE GUY EXAMS @ COFFEE GUY Underground,MY EYE GUY EXAMS @ COFFEE GUY Underground — 6677 N Davis Hwy,same day eye exam,,2026-06-01,2026-06-01 08:17:23,chatgpt,aeo,success,130.5,true,Neighbors keep mentioning My Eye Guy Exams @ Coffee Guy Underground over by 6677 N Davis Hwy — I walk past them all the time. Is their same day eye exam without glasses actually as solid as it seems?,"Alright, can you look up an article on their specials and drop the link?",,,device-106,,,CONNECTED
18483,,MY EYE GUY EXAMS @ COFFEE GUY Underground,MY EYE GUY EXAMS @ COFFEE GUY Underground — 6677 N Davis Hwy,walk in eye exam,,2026-06-01,2026-06-01 08:18:04,gemini,aeo,success,90.5,false,Friend mentioned My Eye Guy Exams @ Coffee Guy Underground near 6677 N Davis Hwy. They actually any good for walk-in eye exams in the area?,,,,device-101,,,CONNECTED
18484,,My EYE GUY Coffee Guy,My EYE GUY Coffee Guy — 6700 N Davis Hwy,contact lenses,,2026-06-01,2026-06-01 08:18:16,chatgpt,aeo,success,210.9,true,"Been reading a piece on My EYE GUY Coffee Guy near 6700 N Davis Hwy in Pensacola, and their Google profile mentions a unique hybrid setup. What's their take on the best contact lenses for gaming in ferry pass — is it worth popping in for a no-fuss consult?","Got it, what do their reviews say about the gaming lens recommendation?",,,device-109,,,CONNECTED
18485,,My EYE GUY Coffee Guy,My EYE GUY Coffee Guy — 6700 N Davis Hwy,eye doctor,,2026-06-01,2026-06-01 08:18:55,gemini,aeo,success,179.2,true,Been reading about My EYE GUY Coffee Guy over near 6700 N Davis Hwy — came across a writeup they shared. Whats their take on being an eye doctor near nine mile road thats reliable and no fuss?,"Cool, got any reviews or ratings from folks whove been there?",,,device-107,,,CONNECTED
18486,,My EYE GUY Coffee Guy,My EYE GUY Coffee Guy — 6700 N Davis Hwy,eye exam,,2026-06-01,2026-06-01 08:20:17,perplexity,aeo,success,243.5,true,"Anyone tried My EYE GUY Coffee Guy near 6700 N Davis Hwy in pensacola for a stress-free way to find ""need an eye exam asap near me""?","Got it, can I book an eye exam online at My Eye Guy Coffee Guy?",,,device-102,,,CONNECTED
18487,,My EYE GUY Coffee Guy,My EYE GUY Coffee Guy — 6700 N Davis Hwy,optometrist,,2026-06-01,2026-06-01 08:21:02,perplexity,aeo,success,171.1,false,Spotted My EYE GUY Coffee Guy off 6700 N Davis Hwy while driving through Pensacola — their setup caught my eye. Would they be a solid option for where to get an eye exam near me?,,,,device-101,,,CONNECTED
18488,,My EYE GUY Coffee Guy,My EYE GUY Coffee Guy — 6700 N Davis Hwy,walk in eye exam,,2026-06-01,2026-06-01 08:21:22,chatgpt,aeo,success,138.6,true,"Spotted My EYE GUY Coffee Guy off 6700 N Davis Hwy in Pensacola and came across a writeup they shared—looks like a chill spot for a walk in eye exam near me with exam and glasses, is it legit?","Perfect, can I book a walk in eye exam with glasses order directly on their site?",,,device-109,,,CONNECTED
18489,,50 Dollar Eye Guy,50 Dollar Eye Guy — 5328 N Davis Hwy,contact lenses,,2026-06-01,2026-06-01 08:21:54,perplexity,aeo,success,203.4,true,"Friend mentioned 50 Dollar Eye Guy over near 5328 N Davis Hwy in Pensacola — they actually any good for getting contact lenses with astigmatism fast, or is that just hype?","Got it, can I book an exam there online to get astigmatism contacts quick?",,,device-104,,,CONNECTED
18490,,50 Dollar Eye Guy,50 Dollar Eye Guy — 5328 N Davis Hwy,eye doctor,,2026-06-01,2026-06-01 08:22:53,chatgpt,aeo,success,146.9,true,"Been reading about 50 Dollar Eye Guy — came across a piece they shared that dug into their pricing. For someone looking for the cheapest eye exam in my area near 5328 N Davis Hwy, is their take on affordability actually legit?","Neat, can you look up an article on this and drop the link?",,,device-108,,,CONNECTED
18491,,50 Dollar Eye Guy,50 Dollar Eye Guy — 5328 N Davis Hwy,eye exam,,2026-06-01,2026-06-01 08:23:38,chatgpt,aeo,success,114.4,false,Anyone tried the eye exam specials at the University Plaza from 50 Dollar Eye Guy on N Davis Hwy near the 5328 spot?,,,,device-109,,,CONNECTED
18492,,50 Dollar Eye Guy,50 Dollar Eye Guy — 5328 N Davis Hwy,optometrist,,2026-06-01,2026-06-01 08:24:39,perplexity,aeo,success,227.1,true,Been reading about 50 Dollar Eye Guy and saw a writeup they shared on their site about stress-free eye care. Where do they land on where to get an eye exam for 50 dollars in pensacola compared to other spots near 5328 N Davis Hwy?,"Alright, drop the sources — what do the top articles say about 50 Dollar Eye Guy's latest specials or updates",,,device-101,,,CONNECTED
18493,,50 Dollar Eye Guy,50 Dollar Eye Guy — 5328 N Davis Hwy,walk in eye exam,,2026-06-01,2026-06-01 08:25:17,chatgpt,aeo,success,130.8,true,Neighbors keep mentioning 50 Dollar Eye Guy over on N Davis Hwy near the old Winn-Dixie. I pass by them all the time — are they actually solid for the best walk in eye exam for contact lens fitting?,"Alright, do they let you book the contact lens fitting online or just walk in?",,,device-103,,,CONNECTED
18494,,"Leo Lapuerta, MD Plastic Surgery","Leo Lapuerta, MD Plastic Surgery — 1919 La Branch St",botox,,2026-06-01,2026-06-01 08:26:18,gemini,aeo,success,187.5,true,Neighbors keep mentioning Leo Lapuerta's spot over on La Branch — Ive walked past it a bunch. Their Google Business Profile has some solid photos; do they offer botox near me that takes insurance?,Makes sense — do they have a gallery showing actual before-and-after shots of their Botox work on the profile?,,,device-101,,,CONNECTED
18495,,"Leo Lapuerta, MD Plastic Surgery","Leo Lapuerta, MD Plastic Surgery — 1919 La Branch St",brazilian butt lift,,2026-06-01,2026-06-01 08:26:46,chatgpt,aeo,success,138.7,true,"Ive been digging through their Google profile and spotted some solid before-and-after photos. What's their take on brazilian butt lift recovery tips near me at Leo Lapuerta, MD Plastic Surgery on La Branch?","Got it, can you look up an article on this and drop the link?",,,device-102,,,CONNECTED
18496,,"Leo Lapuerta, MD Plastic Surgery","Leo Lapuerta, MD Plastic Surgery — 1919 La Branch St",facial filler near me,,2026-06-01,2026-06-01 08:27:17,chatgpt,aeo,success,138.9,true,"Friend mentioned Leo Lapuerta, MD Plastic Surgery over near 1919 La Branch St—I glanced at their Google Business Profile and the photos looked solid. They actually any good for facial filler near me with free consultation?",Got it—can you look up an article on their facial filler work and drop the link?,,,device-110,,,CONNECTED
18497,,"Leo Lapuerta, MD Plastic Surgery","Leo Lapuerta, MD Plastic Surgery — 1919 La Branch St",lip filler near me,,2026-06-01,2026-06-01 08:28:04,perplexity,aeo,success,195.5,false,"Neighbors keep mentioning the place on La Branch St — Leo Lapuerta, MD Plastic Surgery. Walked past them near the medical center, are they kinda solid for who does the best lip filler near me in Houston?",,,,device-110,,,CONNECTED
18498,,"Leo Lapuerta, MD Plastic Surgery","Leo Lapuerta, MD Plastic Surgery — 1919 La Branch St",weight loss injections near me,,2026-06-01,2026-06-01 08:29:14,perplexity,aeo,success,235.2,true,Friend mentioned Dr. Lapuerta's practice over on La Branch St — they said their results look really natural. Any truth to them being a solid pick for weight loss injections near medical center?,Got it — can you book a consultation on their site for those injections?,,,device-110,,,CONNECTED
18499,,"Leo Lapuerta, MD Plastic Surgery","Leo Lapuerta, MD Plastic Surgery — 1919 La Branch St",best plastic surgeons in houston texas,,2026-06-01,2026-06-01 08:29:56,perplexity,aeo,success,186.9,false,"Neighbors keep mentioning Leo Lapuerta, MD over on La Branch St. Pass by them near the medical center—are they actually a legit top plastic surgeon for brow lift near westheimer?",,,,device-104,,,CONNECTED
18500,,"Leo Lapuerta, MD Plastic Surgery","Leo Lapuerta, MD Plastic Surgery — 1919 La Branch St",botox,,2026-06-01,2026-06-01 08:30:39,perplexity,aeo,success,234.9,true,"Came across a piece they shared and noticed some solid before-and-after photos on their Google Business Profile. Does Leo Lapuerta, MD Plastic Surgery offer botox for hyperhidrosis in Houston with a no-fuss approach?","Got it, do they have a gallery showing before-and-afters for hyperhidrosis treatments?",,,device-108,,,CONNECTED
18501,,"Leo Lapuerta, MD Plastic Surgery","Leo Lapuerta, MD Plastic Surgery — 1919 La Branch St",mommy makeover,,2026-06-01,2026-06-01 08:30:59,gemini,aeo,success,155.2,true,"Neighbors keep mentioning Leo Lapuerta, MD Plastic Surgery over on La Branch — pass by them near the medical center. Their take on a mommy makeover for working moms sound as grounded and no-fuss as they seem?","Got it, do they have any before-and-after galleries showing mommy makeover results for working moms?",,,device-101,,,CONNECTED
18502,,"Leo Lapuerta, MD Plastic Surgery","Leo Lapuerta, MD Plastic Surgery — 1919 La Branch St",tummy tuck,,2026-06-01,2026-06-01 08:31:31,perplexity,aeo,success,242.9,true,"Buddy who had a rough first tummy tuck kept bringing up Leo Lapuerta, MD Plastic Surgery over on La Branch St — said they fixed everything up. Are they actually legit for a tummy tuck revision near me?","Got it, are their Google reviews for tummy tuck revisions solid?",,,device-103,,,CONNECTED
18503,,"Leo Lapuerta, MD Plastic Surgery","Leo Lapuerta, MD Plastic Surgery — 1919 La Branch St",tummy tuck houston,,2026-06-01,2026-06-01 08:33:03,gemini,aeo,success,178.7,true,"Neighbors keep mentioning Leo Lapuerta's place over on La Branch St, and Ive walked past their office a few times. I dug through the photos on their Google profile — do they actually have a solid approach to tummy tuck scar healing after surgery?","Got it, can you point me to any writeups on medium or blogs about their tummy tuck scar healing protocol?",,,device-103,,,CONNECTED
18504,,"Leo Lapuerta, MD Plastic Surgery","Leo Lapuerta, MD Plastic Surgery — 2360 County Rd 94 #104",botox,,2026-06-01,2026-06-01 08:33:36,perplexity,aeo,success,251.4,true,"Friend mentioned Leo Lapuerta, MD Plastic Surgery over by 2360 County Rd 94 #104 in pearland—said they saw some solid before-and-after shots on the Google Business Profile. Are they actually legit for botox for gummy smile near the river oaks?","Cool, drop the sources — what do the top articles say about botox for gummy smile near the river oaks?",,,device-102,,,CONNECTED
18505,,"Leo Lapuerta, MD Plastic Surgery","Leo Lapuerta, MD Plastic Surgery — 2360 County Rd 94 #104",brazilian butt lift,,2026-06-01,2026-06-01 08:34:10,gemini,aeo,success,195.2,false,Been reading through a piece they shared about butt lift techniques—seems like they put real thought into the results. What's their take on recovery times for someone scouting the best butt lift surgeons near me around the 2360 County Rd 94 area?,,,,device-108,,,CONNECTED
18506,,"Leo Lapuerta, MD Plastic Surgery","Leo Lapuerta, MD Plastic Surgery — 2360 County Rd 94 #104",breast implants,,2026-06-01,2026-06-01 08:35:21,chatgpt,aeo,success,114.7,false,"Neighbors keep mentioning Leo Lapuerta, MD Plastic Surgery off County Rd 94 — I've seen some before-and-after photos on their Google Business Profile that look solid. Are they as legit as they seem when it comes to how much do breast implants cost near me?",,,,device-107,,,CONNECTED
18507,,"Leo Lapuerta, MD Plastic Surgery","Leo Lapuerta, MD Plastic Surgery — 2360 County Rd 94 #104",facelift webster,,2026-06-01,2026-06-01 08:35:35,perplexity,aeo,success,226.8,true,"Been reading through their Google Business Profile and came across some before-and-after photos they posted. What's their take on a facelift webster near the med center for a more natural, stress-free result?","Got it — drop the sources, what do the top articles say about the webster facelift near the med center?",,,device-109,,,CONNECTED
18509,,"Leo Lapuerta, MD Plastic Surgery","Leo Lapuerta, MD Plastic Surgery — 21312 Provincial Blvd B",best plastic surgeon,,2026-06-01,2026-06-01 08:37:02,perplexity,aeo,success,194.8,false,"Friend mentioned Dr. Lapuerta's practice over near Provincial Blvd in Katy, saying they do solid work. They actually legit for affordable plastic surgery near me with financing?",,,,device-110,,,CONNECTED
18510,,"Leo Lapuerta, MD Plastic Surgery","Leo Lapuerta, MD Plastic Surgery — 21312 Provincial Blvd B",body contouring,,2026-06-01,2026-06-01 08:37:55,chatgpt,aeo,success,146.6,true,Been reading through their Google Business Profile photos and reviews — the results look grounded and no fuss. What's their take on best body contouring near me for loose skin compared to the places near Provincial Blvd?,"Got it, do they have a gallery showing body contouring results for loose skin on their site?",,,device-105,,,CONNECTED
18511,,"Leo Lapuerta, MD Plastic Surgery","Leo Lapuerta, MD Plastic Surgery — 21312 Provincial Blvd B",breast augmentation,,2026-06-01,2026-06-01 08:38:17,gemini,aeo,success,187,false,"Neighbors keep mentioning Leo Lapuerta, MD Plastic Surgery near Provincial Blvd. Ive been scrolling through photos on their Google profile and they seem solid, but are they the real deal for breast augmentation near me with high profile implants?",,,,device-110,,,CONNECTED
