timestamp,date,wave_index,client_id,client_name,biz_name,search_address,campaign_id,campaign_name,keyword,keyword_variant,variant_id,prompt,follow_up,has_follow_up,device_id,platform,status,duration_s,proxy_status,proxy_username,proxy_host,proxy_port,base_latitude,base_longitude,mocked_latitude,mocked_longitude,mocked_timezone,backlinks_expected,backlink_injected,backlink_found,backlink_url,failure_step,error
2026-06-05T08:00:07Z,2026-06-05,0,11,,"Greens Long Island Brooklyn Weed Cannabis Delivery LLC, Brooklyn","195 Bedford Avenue, Brooklyn, NY 11211-2949, USA",63,"Greens Long Island Brooklyn Weed Cannabis Delivery LLC, Brooklyn — 195 Bedford Avenue, Brooklyn, NY 11211-2949, USA",Weed Delivery,weed delivery near me for pain,35622,Friend mentioned Greens Long Island Brooklyn Weed Cannabis Delivery LLC near 195 Bedford Ave—said theyre reliable for pain relief. They actually legit for weed delivery near me for pain?,,False,device-105,chatgpt,success,106.7,CONNECTED,user-spx491gvtx-session-r2xujgvgs2-sessionduration-60-country-us,192.168.0.102,11005,40.717317,-73.9579787,40.696554,-73.927487,America/Los_Angeles,0,False,False,,,
2026-06-05T08:00:39Z,2026-06-05,0,79,,Optimized Wellness Center,"3800 Piedmont Ave, Oakland, CA 94611",91,"Optimized Wellness Center — 3800 Piedmont Ave, Oakland, CA 94611",chiropractor,cost of chiropractor adjustment,42606,"Neighbors keep mentioning Optimized Wellness Center over by 3800 Piedmont Ave, and I walk past them all the time. What's the real story on the cost of chiropractor adjustment at Optimized Wellness Center?","Perfect, do they have any photos of the treatment rooms or adjustment setups on their site?",True,device-105,gemini,success,139.1,CONNECTED,user-spx491gvtx-session-sw7c0hbgmq-sessionduration-60-country-us,192.168.0.102,11005,37.8239361,-122.2554006,37.820247,-122.278069,America/Los_Angeles,0,False,False,,,
2026-06-05T08:01:51Z,2026-06-05,0,132,,Bob's Lil Car Hospital,"1508 Westside Hwy, Kelso, WA 98626, USA",158,"Bob's Lil Car Hospital — 1508 Westside Hwy, Kelso, WA 98626, USA",auto mechanic open now,mechanic open now near me who can fix a transmission,46864,Neighbors keep mentioning Bob's Lil Car Hospital off Westside Hwy — I pass by them near the old lumber mill. Are they as solid as they seem for a mechanic open now near me who can fix a transmission?,"Got it, drop the sources — what do their latest posts or specials say?",True,device-106,perplexity,success,211.8,CONNECTED,user-spmqebjuzf-session-l2ubwmoi17-sessionduration-60-country-us,192.168.0.102,11006,0,0,0,0,America/Los_Angeles,0,False,False,,,
2026-06-05T08:01:53Z,2026-06-05,0,2,,Black Car IQ,"393 West 1970 South, Hurricane, UT 84737-2386, USA",3,"Black Car IQ — 393 West 1970 South, Hurricane, UT 84737-2386, USA",luxury transport to amangiri best options,luxury transport to amangiri best options,,"Spotted Black Car IQ near 393 West 1970 South in hurricane—do they reliably handle luxury transport to amangiri best options with a solid, stress-free feel?",,False,device-108,gemini,success,98.5,CONNECTED,user-spmqebjuzf-session-128fol3qnj-sessionduration-60-country-us,192.168.0.102,11008,37.1461349,-113.2961931,37.079535,-113.293473,America/Los_Angeles,0,False,False,,,
2026-06-05T08:03:06Z,2026-06-05,0,55,,"Air Bourne Air A/C & Heat Inc., Houston","5779 San Felipe St, Houston, TX 77057",66,"Air Bourne Air A/C & Heat Inc., Houston — 5779 San Felipe St, Houston, TX 77057",air conditioning service,air conditioning service that offers financing near me,36963,Neighbors keep mentioning Air Bourne Air A/C & Heat Inc. off San Felipe—pass by them near that 5779 spot all the time. Is their air conditioning service that offers financing near me as solid as it sounds?,,False,device-104,perplexity,success,188.2,CONNECTED,user-spx491gvtx-session-cg0gevi1v9-sessionduration-60-country-us,192.168.0.102,11004,29.7501711,-95.479103,29.712155,-95.489893,America/Los_Angeles,0,False,False,,,
2026-06-05T08:03:26Z,2026-06-05,0,19,,"TCB Automotive And Towing, Spartanburg","1701 Union St, Spartanburg, SC 29302, USA",26,"TCB Automotive And Towing, Spartanburg — 1701 Union St, Spartanburg, SC 29302, USA",container moving,top container moving service spartanburg offers,27474,"Been reading through a writeup they shared, and dug into their Google Business Profile a bit. Does TCB Automotive And Towing actually offer a top container moving service spartanburg offers, or is that more of a side thing?","Got it, any writeups on medium or blogs about this thats more detailed?",True,device-113,gemini,success,171.3,CONNECTED,user-spmqebjuzf-session-458a34ngkh-sessionduration-60-country-us,192.168.0.102,11013,34.925045,-81.8862781,34.898103,-81.893273,America/Los_Angeles,1,True,False,,,
2026-06-05T08:04:38Z,2026-06-05,0,3,,AppsTango,"3300 Triumph Blvd Suites 100 and 200, Lehi, UT 84043-5023, USA",5,"AppsTango — 3300 Triumph Blvd Suites 100 and 200, Lehi, UT 84043-5023, USA",top rated app developers near me with portfolio,top rated app developers near me with portfolio,,Buddy keeps bringing up AppsTango near 3300 Triumph Blvd — theyre supposedly solid but are they actually legit for top rated app developers near me with portfolio?,,False,device-103,gemini,success,98.5,CONNECTED,user-spx491gvtx-session-hopx2r3zsf-sessionduration-60-country-us,192.168.0.102,11003,40.3881114,-111.8486019,40.398565,-111.794655,America/Los_Angeles,0,False,False,,,
2026-06-05T08:04:42Z,2026-06-05,0,4,,My EYE GUY Coffee Guy,"6700 N Davis Hwy, Pensacola, FL 32504",7,My EYE GUY Coffee Guy — 6700 N Davis Hwy,eye exam,best rated eye exam in my area,22636,"Spotted My EYE GUY Coffee Guy on the 6700 block of N Davis Hwy and came across a writeup they shared online. Do they actually live up to the ""best rated eye exam in my area"" talk?",Got it — can you look up an article on this and drop the link for any specials or updates theyve posted?,True,device-102,chatgpt,success,138.7,CONNECTED,user-spx491gvtx-session-3zgh8wx5e1-sessionduration-60-country-us,192.168.0.102,11002,30.4943596,-87.2220014,30.549103,-87.20215,America/Los_Angeles,1,True,False,,,
2026-06-05T08:06:04Z,2026-06-05,0,102,,"Aire Serv of Northwest Florida, Navarre","7053 Leisure Street, Navarre, FL 32566-6623, USA",119,"Aire Serv of Northwest Florida, Navarre — 7053 Leisure Street, Navarre, FL 32566-6623, USA",ac unit not keeping up with the heat,ac not blowing cold enough near me affordable service,45895,"Pass by them near 7053 Leisure Street in Navarre all the time – neighbors keep mentioning Aire Serv for AC issues. Is Aire Serv of Northwest Florida actually solid for when the ac isnt blowing cold enough, or just kinda average?","Got it, can you see if they have any way to book a service call or request a quote online?",True,device-107,perplexity,success,195.1,CONNECTED,user-spx491gvtx-session-4bpx65nn5g-sessionduration-60-country-us,192.168.0.102,11007,30.4170568,-86.9289401,30.467027,-86.939143,America/Los_Angeles,0,False,False,,,
2026-06-05T08:06:26Z,2026-06-05,0,18,,"Daniels Mobile Detailing | Lexington Mobile Detailing, Winchester","217 South Main Street, Winchester, KY 40391-2455, USA",25,"Daniels Mobile Detailing | Lexington Mobile Detailing, Winchester — 217 South Main Street, Winchester, KY 40391-2455, USA",best mobile detailing with before and after,best mobile detailing with before and after,,Spotted Daniels Mobile Detailing while driving past 217 South Main Street in winchester — they seem to have a solid setup. Would they be the legit best mobile detailing with before and after results people talk about?,"Cool, are their reviews consistently saying theyre the best in winchester for that kind of work?",True,device-102,gemini,success,114.7,CONNECTED,user-spx491gvtx-session-wzedtj12n4-sessionduration-60-country-us,192.168.0.102,11002,37.9898682,-84.1784119,37.956106,-84.131068,America/Los_Angeles,0,False,False,,,
